lambda_lo,lambda_hi
7424.161935295891,7425.1507283727115
7426.03968260498,7428.293088182266
7429.06772897692,7430.455202402719
7432.717586800143,7433.684371780017
7434.27229594932,7435.2538528217265
7439.306105367672,7439.482754033886
7439.71432974379,7440.2374126994355
7442.089871484464,7443.753018063089
7443.956272339478,7444.507443057732
7452.847029890865,7453.889024431971
7456.82460177856,7457.006992803394
7457.233360052607,7457.760749688189
7459.79346939313,7460.770996313353
7594.632669298546,7619.474159474671
7621.064268446308,7659.11107970309
7659.352412257179,7663.778915964502
7663.995459333785,7664.55068010003
7665.181003332723,7665.369400677485
7665.587067406299,7669.123989064589
7669.425029645881,7669.895560459113
7671.65263062752,7674.486732262904
7677.83919394239,7680.360415619837
7684.065319661256,7686.361799724504
7690.556751501487,7692.5393183489105
7692.873179353001,7693.485750496958
7694.273771521636,7694.345197278312
7694.655726825749,7695.152774393104
7695.439913910961,7695.935615821889
7696.249078788413,7696.357538333256
7696.668876362186,7699.409380167342
7699.7344126938115,7700.76530414852
7700.99821014154,7701.140240424344
7701.4209670895825,7701.907373798159
7702.566590853252,7702.708087356015
7702.972268692567,7703.4924802901805
7703.733473919795,7703.857447940585
7704.156421305151,7706.196099846584
7711.3463271282135,7712.535203801828
7712.787194510512,7713.302630460491
7715.164856186211,7715.301989671569
7715.588365566918,7716.06942814154
7717.727287948188,7717.879880924825
7718.150902180806,7719.883904859577
7720.172053420377,7720.667577566101
7721.803987702044,7721.971067330689
7722.227756352355,7722.75461863992
7722.979035455114,7723.129523121859
7723.402845834091,7723.913006656854
7726.046951576804,7726.227990950341
7726.47086572111,7727.011293583464
7727.23650206923,7728.279254517387
7730.572261453006,7730.735378739342
7730.996318899622,7731.518423372563
7731.7429691821,7731.905563621632
7732.151485036241,7732.688542757784
7735.348876593791,7735.494502689896
7735.773082114652,7736.2772851641785
7736.484310234456,7736.629499874003
7736.908551683038,7737.412221446067
7740.330881123555,7740.459514463959
7740.755248627947,7741.242034623216
7741.885108304522,7742.005871973438
7745.547937910456,7745.704497684072
7745.972487912902,7746.486750467629
7746.699924794203,7746.826527595796
7747.124516308201,7747.608724240112
7833.954789623816,7834.164805293157
7834.384425664026,7834.957742669729
7838.089771256496,7838.281923525006
7838.550283004953,7839.703750767115
7840.4162457956245,7840.591900019257
7840.846094751351,7842.190588200349
7842.481022896671,7842.701022558441
7842.910944078778,7843.49349429058
7846.7717113058225,7846.959171934216
7847.201786655052,7849.042126637334
7850.172098372242,7851.311220942252
7852.088998791639,7852.288173596733
7852.504681224399,7853.080142919212
7855.016781192439,7857.785348274452
7859.698810404387,7861.460917080554
7862.202623930525,7863.899304948982
7864.6389883978245,7869.234171209255
7869.5862455169745,7869.747565719787
7870.016803847392,7870.538761301991
7871.288190453264,7873.01845969493
7874.20268348261,7875.391416885236
7876.751193854506,7879.294405516247
7881.297217675881,7884.478370766158
7886.399237108036,7889.757221165547
7890.210211744964,7890.384406350957
7890.640285947719,7898.873025417111
7901.037695820998,7906.335263073937
7907.8418920601,7908.002674978499
7908.27593823216,7914.614719198882
7916.937590455467,7920.280772646718
7921.817228502539,7923.521047778137
7925.60553843643,7927.232868505235
7929.668756696042,7932.48966081884
7933.102254136576,7934.160008686879
7934.413253023742,7934.96346104813
7938.426749499246,7939.487858171501
7940.438464727148,7941.513439670297
7943.144330834161,7945.260270626177
7948.235111468376,7948.455376952691
7948.670748766227,7950.402211317636
7951.7745098550395,7951.932940817904
7952.195373324941,7953.82009037028
7955.148983367092,7956.504783102705
7957.607368329787,7958.783736327849
7959.2186610614335,7961.344771144753
7961.609129202386,7967.556148300703
7967.918426834518,7969.011111870044
7969.227251334602,7971.301227311667
7971.974155311178,7974.715029009949
7975.568392443183,7977.514559780435
7977.879628423372,7979.148246174819
7979.504484999763,7980.5313951735625
7981.420059988726,7983.071706114249
7983.376147227849,7984.563537392841
7985.148888670552,7987.2010878081555
7987.641035702837,7990.7167105992285
7992.123993352061,7993.829334864703
7994.556326150416,7994.731403381752
7994.975165388302,7996.257893285812
7996.641350760998,7996.790454312843
7997.076303246176,7997.544678726578
7997.770220417609,7998.6314854106
8001.5120899732965,8003.508342083879
8004.708526277875,8005.668925107333
8006.035783949823,8007.226488422464
8008.0877658751415,8010.593417279699
8012.240781776943,8017.297200667559
8017.576465061784,8020.916416144545
8021.701162058502,8032.030287740637
8032.674844468543,8033.7634778926795
8034.01755273965,8034.561574228023
8034.965459889983,8040.491170368897
8040.933881339232,8049.083435286831
8050.384091090145,8051.591794395989
8051.861677430363,8052.02401827171
8052.302973503708,8052.837390096298
8053.865042700146,8057.762017575852
8058.013464985872,8059.219950996382
8060.247710818099,8062.879002746715
8063.616328456416,8065.9472647104085
8066.6655165349,8068.41574382443
8069.204702110928,8070.276387338759
8070.53470608116,8071.08870400341
8071.37672912934,8073.690287215167
8073.937991720049,8074.105184405487
8074.379679252808,8074.917310610448
8076.235167037108,8078.879025212726
8079.968611981218,8082.098245591939
8082.322314372508,8082.681879254283
8082.987761286579,8083.857858398917
8084.4502559492785,8085.120688969188
8086.137923258213,8087.949746364301
8088.606639680895,8089.600681250459
8090.1696851762235,8090.940897927973
8091.904206762224,8094.14311267081
8095.279378988513,8101.599319900244
8102.5919348752595,8103.928669925418
8107.9198483196715,8113.1343412537
8113.540589241492,8117.191785391635
8117.49775719673,8117.717162189483
8117.943059991218,8118.466727260855
8118.6931413330085,8119.03665831689
8119.299075076437,8126.041493568962
8126.2904288052705,8127.785315261225
8128.204278284897,8129.376024732743
8131.146144338828,8139.4198351154455
8140.138715869329,8146.868843823861
8147.396340423587,8152.2855686693065
8152.794711368064,8161.068017786032
8161.3359728885835,8161.47563521405
8162.168851699811,8167.676747409976
8167.997642988021,8169.44935326518
8170.096551012305,8173.95620478225
8174.449445579406,8177.01712790704
8177.295853682666,8186.454174805856
8187.165401411491,8192.235762364588
8192.548431378047,8193.26784332203
8193.552946597081,8197.026648276742
